fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.38,0.711,0.079,4.05,0.117,15.8,60.3,0.99321,3.34,0.518,8.6,5
7.19,0.453,0.174,2.7,0.055,13.0,58.1,0.99431,3.33,0.863,12.9,7
11.94,0.58,0.288,2.11,0.075,24.0,80.2,0.99833,3.55,0.825,9.1,6
9.38,0.671,0.34,3.22,0.091,1.0,91.2,0.99754,3.46,0.921,10.5,6
4.86,0.608,0.565,3.49,0.078,5.5,48.3,0.99825,3.34,0.563,10.7,5
8.62,0.67,0.08,1.5,0.143,5.3,30.1,0.99712,3.45,0.623,8.4,5
7.17,0.851,0.457,2.83,0.104,25.5,60.0,0.99702,3.16,0.398,9.9,5
9.75,0.535,0.279,2.94,0.101,33.1,32.7,0.99355,3.34,0.647,11.9,7
6.95,0.774,0.286,2.07,0.104,15.0,36.1,0.99785,3.57,0.844,10.4,6
8.1,0.518,0.423,3.72,0.122,14.3,41.1,0.99715,3.26,0.61,13.2,6
9.16,0.844,0.032,2.18,0.099,16.7,41.2,0.99913,3.2,0.737,8.4,4
9.77,0.797,0.393,2.4,0.03,27.6,65.7,0.99388,3.18,0.68,12.1,7
6.26,0.344,0.327,2.16,0.095,6.7,25.3,0.99072,3.13,0.737,10.2,6
7.73,0.616,0.364,2.31,0.064,18.4,75.8,0.99974,3.19,0.476,10.5,5
7.49,0.795,0.325,1.57,0.068,25.8,60.8,0.9958,3.25,0.674,10.1,5
7.19,0.694,0.737,1.39,0.108,21.0,55.8,0.99484,3.1,0.33,9.0,5
11.3,0.768,0.149,4.02,0.13,17.9,46.3,0.99873,3.31,0.63,9.9,5
8.99,0.586,0.194,1.71,0.082,26.0,64.1,0.99512,3.43,0.424,8.5,6
6.16,0.731,0.152,1.63,0.098,1.0,52.5,0.99965,3.17,0.853,10.3,5
9.86,0.7,0.164,1.08,0.147,22.8,40.4,0.99854,3.54,0.784,10.0,5
11.91,0.817,0.174,1.84,0.089,9.5,31.3,0.99781,3.37,0.76,11.0,6
10.06,0.753,0.496,1.45,0.178,1.0,29.9,0.99359,3.46,0.903,10.8,5
5.72,0.764,0.54,4.09,0.107,21.1,29.2,1.00003,3.21,0.508,10.1,5
7.48,0.666,0.162,3.28,0.025,29.7,48.4,0.99765,3.44,0.94,9.8,5
10.45,0.657,0.112,1.81,0.113,14.6,40.1,0.99608,3.15,0.809,8.8,5
7.1,0.609,0.385,5.06,0.094,25.5,78.0,0.99646,3.43,0.647,9.6,6
9.05,0.771,0.165,3.24,0.132,32.1,72.4,0.99256,3.34,0.842,10.9,5
9.62,0.61,0.415,2.05,0.105,29.1,68.0,0.99712,3.38,0.508,11.8,6
6.72,0.703,0.334,0.96,0.076,32.4,84.4,0.99353,3.12,0.553,10.1,6
8.2,0.99,0.0,5.13,0.044,23.4,55.7,0.99362,3.18,0.563,9.7,5
4.6,0.778,0.589,1.41,0.074,16.8,59.6,0.99229,3.38,0.6,9.4,6
6.56,0.678,0.611,1.29,0.057,1.0,33.9,0.99978,3.17,0.491,10.9,5
7.87,0.876,0.154,3.29,0.067,13.5,53.8,0.99543,3.38,0.856,10.4,5
6.18,0.557,0.246,5.4,0.096,7.6,30.9,0.99903,3.07,0.669,12.9,7
11.08,0.345,0.374,3.73,0.133,37.7,23.9,0.99386,3.41,0.766,10.1,7
5.87,0.534,0.359,2.8,0.095,14.2,46.6,0.99183,3.11,0.594,10.0,6
7.55,0.477,0.395,2.83,0.045,17.2,80.7,0.99421,3.39,0.369,9.9,5
8.52,0.674,0.652,3.1,0.103,21.5,75.0,1.00009,3.4,0.703,10.3,5
10.75,0.667,0.261,3.0,0.123,16.4,70.7,0.99571,3.19,0.379,10.1,6
5.86,0.938,0.118,2.54,0.066,33.0,92.7,0.99563,3.4,0.649,8.8,5
10.28,0.763,0.008,2.39,0.082,9.8,46.5,0.9974,3.35,0.441,10.6,5
8.32,0.637,0.156,2.25,0.082,17.9,56.9,0.99735,3.21,1.003,11.1,6
6.63,0.883,0.239,1.77,0.066,8.6,31.2,1.00069,3.17,0.781,8.4,4
9.09,0.323,0.661,2.08,0.098,2.8,31.5,0.99882,2.99,0.727,12.4,7
8.64,0.751,0.172,1.27,0.083,9.9,57.2,0.9961,3.36,0.862,10.9,5
7.28,0.765,0.338,2.22,0.096,15.6,74.7,0.99278,3.06,0.55,10.5,6
8.42,0.528,0.267,1.63,0.056,11.7,43.9,0.99597,3.32,0.747,9.8,5
7.64,0.814,0.521,1.56,0.066,9.1,35.1,0.99675,3.26,0.717,10.9,6
8.49,0.709,0.775,2.45,0.106,1.9,36.9,0.99369,3.4,0.727,9.5,6
9.43,0.666,0.169,3.74,0.074,15.2,62.2,0.99461,3.26,0.864,9.7,5
11.0,0.692,0.227,3.17,0.135,1.0,7.1,0.99606,3.23,0.827,8.8,7
6.2,0.96,0.493,1.33,0.067,23.6,12.7,0.99598,3.4,0.731,11.2,6
11.93,0.634,0.45,1.63,0.083,16.8,40.8,0.99528,3.33,0.445,9.4,7
4.98,0.642,0.671,3.2,0.108,1.4,12.0,0.9933,3.33,0.556,12.5,7
8.04,0.605,0.406,1.63,0.031,12.9,37.7,0.99552,3.37,0.665,10.0,6
